Title;title_year;budget;Gross;actor_1_name;actor_2_name;actor_3_name;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;IMDb_rating;genre_1;genre_2;genre_3;MetaCritic;Runtime;CVotes10;CVotes09;CVotes08;CVotes07;CVotes06;CVotes05;CVotes04;CVotes03;CVotes02;CVotes01;CVotesMale;CVotesFemale;content_rating;Country
Moneyball;2011;50000000;75605492;Philip Seymour Hoffman;Robin Wright;Brad Pitt;22000;18000;11000;7.6;Biography;Drama;Sport;87;133;20734;43329;108133;85628;27802;8094;2802;1304;778;1604;222663;34888;PG-13;USA
Prisoners;2013;46000000;60962878;Hugh Jackman;Jake Gyllenhaal;Dylan Minnette;20000;15000;1000;8.1;Crime;Drama;Mystery;74;153;57400;110853;161533;77122;20845;6515;2540;1376;897;1978;297561;59221;R;USA
Argo;2012;44500000;136019448;Clea DuVall;Scoot McNairy;Tate Donovan;1000;660;650;7.7;Action;Biography;Drama;86;120;43875;89490;171495;115165;37332;12630;4992;2910;2020;6941;334838;67910;R;USA
Lone Survivor;2013;40000000;125069696;Jerry Ferrara;Scott Elrod;Dan Bilzerian;480;449;127;7.5;Action;Biography;Drama;;121;30856;33356;68808;54195;20772;7205;2727;1409;887;2133;163657;17260;R;USA
The Social Network;2010;40000000;96917897;Andrew Garfield;Dustin Fitzsimons;Marcella Lentz-Pope;10000;349;81;7.7;Biography;Drama;;95;120;60189;89515;161983;122694;46869;16288;6351;3284;2914;6346;351608;84711;PG-13;USA
Bridge of Spies;2015;40000000;72306065;Tom Hanks;Mark Rylance;Amy Ryan;15000;535;423;7.6;Drama;History;Thriller;81;142;15757;32840;83322;63800;19183;5178;1657;735;419;878;152707;23978;PG-13;USA
True Grit;2010;38000000;171031347;Matt Damon;Jeff Bridges;Bruce Green;13000;12000;538;7.6;Adventure;Drama;Western;80;110;21094;40901;91825;67175;23055;7191;2678;1305;779;1672;197105;27125;PG-13;USA
Rush;2013;38000000;26903709;Chris Hemsworth;Olivia Wilde;Alexandra Maria Lara;26000;10000;471;8.1;Action;Biography;Drama;75;123;53667;90907;119603;57343;14948;4436;1625;803;633;1532;246354;35289;R;UK
The Town;2010;37000000;92173235;Jeremy Renner;Jon Hamm;Owen Burke;10000;4000;206;7.6;Crime;Drama;Thriller;74;125;24170;42261;103949;83600;28025;8688;2970;1410;824;1533;226697;31345;R;USA
Creed;2015;35000000;109712885;Sylvester Stallone;Phylicia Rashad;Graham McTavish;13000;597;531;7.6;Drama;Sport;;82;133;21364;28964;58237;45563;16432;5118;1655;848;464;1151;126214;13323;PG-13;USA
Kick-Ass;2010;30000000;48043505;Elizabeth McGovern;Deborah Twiss;Michael Rispoli;553;488;385;7.7;Action;Comedy;;66;117;59740;77776;143023;103305;41417;16195;7398;4074;2842;6102;336585;57638;R;UK
Sicario;2015;30000000;46875468;Edgar Arreola;Bernardo Saracino;Daniel Kaluuya;455;221;219;7.6;Action;Crime;Drama;82;121;19576;40247;85359;64633;24920;8548;3261;1669;970;1689;178321;21448;R;USA
Straight Outta Compton;2015;28000000;161029270;Aldis Hodge;Neil Brown Jr.;R. Marcos Taylor;559;427;303;7.9;Biography;Drama;History;72;147;24527;29039;48956;26956;7959;2418;921;531;427;2286;96591;14262;R;USA
The Big Short;2015;28000000;70235322;Ryan Gosling;Christian Bale;Charlie Talbert;33000;23000;767;7.8;Biography;Comedy;Drama;81;130;22879;48091;94303;58756;18650;6141;2253;1133;713;1415;167875;31804;R;USA
The Help;2011;25000000;169705587;Emma Stone;Bryce Dallas Howard;Mike Vogel;15000;3000;2000;8.1;Drama;;;62;146;60811;82560;115917;57034;17268;6011;2456;1326;974;2948;173908;115762;PG-13;USA
The Fighter;2010;25000000;93571803;Christian Bale;Jack McGee;Melissa McMeekin;23000;238;141;7.8;Action;Biography;Drama;79;116;27835;55315;117623;64849;17902;4969;1704;922;547;1163;220445;31021;R;USA
The Grand Budapest Hotel;2014;25000000;59073773;Bill Murray;Tom Wilkinson;F. Murray Abraham;13000;1000;670;8.1;Adventure;Comedy;Drama;88;99;84258;142011;168705;88086;31632;12023;5455;3196;2204;3971;332149;96997;R;USA
Warrior;2011;25000000;13651662;Tom Hardy;Frank Grillo;Kevin Dunn;27000;798;581;8.2;Action;Drama;Sport;71;140;74983;96953;106673;52972;16668;5727;2353;1205;1050;2479;270734;31075;PG-13;USA
Her;2013;23000000;25556065;Scarlett Johansson;Brian Johnson;Matt Letscher;19000;128;105;8;Drama;Romance;Sci-Fi;90;126;61098;95920;117761;67804;27718;11647;5673;3517;2464;4841;252724;72611;R;USA
Silver Linings Playbook;2012;21000000;132088910;Jennifer Lawrence;Robert De Niro;Bradley Cooper;34000;22000;14000;7.8;Comedy;Drama;Romance;81;122;73783;107247;184382;123467;46614;17257;6997;3682;2457;4470;338051;131000;R;USA
12 Years a Slave;2013;20000000;56667870;Quvenzhan̩ Wallis;Scoot McNairy;Taran Killam;2000;660;500;8.1;Biography;Drama;History;96;134;75556;126223;161460;83070;27231;9603;4021;2420;1785;4739;313823;82012;R;USA
Spotlight;2015;20000000;44988180;Billy Crudup;Jamey Sheridan;Brian d'Arcy James;745;168;77;8.1;Crime;Drama;History;93;128;35421;72285;100793;49236;13488;4034;1365;698;517;1388;173290;43313;R;USA
The Book Thief;2013;19000000;21483154;Emily Watson;Sophie N̩lisse;Roger Allam;876;526;326;7.6;Drama;War;;;131;15911;17607;32570;24461;10274;3848;1387;726;342;755;59365;29422;PG-13;USA
Birdman or (The Unexpected Virtue of Ignorance);2014;18000000;42335698;Emma Stone;Naomi Watts;Merritt Wever;15000;6000;529;7.8;Comedy;Drama;;88;119;60209;94476;121637;80828;38373;19161;10116;6750;5378;11807;292808;63310;R;USA
127 Hours;2010;18000000;18329466;James Franco;Treat Williams;Kate Burton;11000;642;223;7.6;Adventure;Biography;Drama;82;94;28939;44110;98845;78451;28394;9403;3796;1930;1161;2059;212866;44600;R;USA
Midnight in Paris;2011;17000000;56816662;Kurt Fuller;Audrey Fleurot;Nina Arianda;617;204;183;7.7;Comedy;Fantasy;Romance;81;124;37002;56920;103006;72777;29887;12268;5169;2764;1789;2901;195745;81470;PG-13;Spain
Moonrise Kingdom;2012;16000000;45507053;Bruce Willis;Bill Murray;Bob Balaban;13000;13000;559;7.8;Adventure;Comedy;Drama;84;94;34789;53660;82864;50730;19378;7682;3443;1949;1340;2407;164811;53362;PG-13;USA
The King's Speech;2010;15000000;138795342;Colin Firth;Jennifer Ehle;Derek Jacobi;14000;1000;520;8;Biography;Drama;;88;118;69976;129146;187772;100984;31083;10120;3991;2090;1385;3702;339153;108830;R;UK
The Artist;2011;15000000;44667095;B̩r̩nice Bejo;Ed Lauter;Beth Grant;996;897;628;7.9;Comedy;Drama;Romance;89;100;31192;45532;61088;35456;13521;5549;2569;1561;1248;3627;133682;40741;PG-13;France
The Theory of Everything;2014;15000000;35887263;Eddie Redmayne;Emily Watson;Simon McBurney;13000;876;149;7.7;Biography;Drama;Romance;72;123;36339;53814;104625;75080;23057;7013;2307;1075;575;1277;174408;67669;PG-13;UK
Drive;2011;15000000;35054909;Ryan Gosling;Albert Brooks;Russ Tamblyn;33000;745;228;7.8;Crime;Drama;;78;100;74421;96998;130187;82653;38557;17321;9132;5694;4114;8576;336319;64201;R;USA
